Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,102.220001,103.559998,101.790001,103.550003,92.973526,5328400
2015-02-18,103.349998,104.169998,103.019997,104.099998,93.467369,3860200
2015-02-19,104.070000,104.260002,102.449997,102.620003,92.138527,3578400
2015-02-20,102.360001,102.720001,101.870003,102.699997,92.210350,4313300
2015-02-23,102.750000,103.660004,102.500000,103.260002,92.713150,3619600
2015-02-24,103.489998,103.550003,102.720001,103.360001,92.802940,3423900
2015-02-25,103.169998,104.089996,103.040001,103.440002,92.874756,3655500
2015-02-26,103.500000,104.480003,103.470001,104.169998,93.530228,3497000
2015-02-27,103.750000,104.519997,103.610001,103.870003,93.260841,3808900
2015-03-02,104.099998,104.839996,104.010002,104.190002,93.548164,3189300
2015-03-03,104.169998,104.379997,102.959999,103.449997,92.883736,4044500
2015-03-04,103.059998,103.449997,102.769997,103.080002,92.551529,3079500
2015-03-05,103.500000,103.550003,102.680000,103.360001,92.802940,3619100
2015-03-06,102.430000,102.690002,101.550003,101.900002,91.492065,4639800
2015-03-09,102.089996,102.760002,101.790001,102.500000,92.030792,4217200
2015-03-10,101.589996,102.339996,101.500000,101.529999,91.159866,3951300
2015-03-11,101.930000,102.150002,101.510002,101.559998,91.186775,3319900
2015-03-12,101.980003,103.169998,101.870003,102.959999,92.443794,3731900
2015-03-13,103.110001,103.919998,102.739998,103.260002,92.713150,4855000
2015-03-16,103.660004,104.519997,103.510002,104.389999,93.727745,4873900
2015-03-17,103.949997,104.040001,103.019997,103.019997,92.497673,4613600
2015-03-18,102.769997,103.849998,101.760002,103.489998,92.919662,6695300
2015-03-19,103.580002,103.730003,103.120003,103.339996,92.784981,3383500
2015-03-20,104.000000,104.690002,103.489998,103.860001,93.251884,9136400
2015-03-23,104.050003,105.349998,103.949997,104.559998,93.880363,4167000
2015-03-24,104.629997,105.459999,104.370003,104.489998,93.817505,3532700
2015-03-25,104.919998,104.930000,102.709999,102.730003,92.237297,4073600
2015-03-26,102.459999,102.889999,101.779999,101.989998,91.572868,4265300
2015-03-27,101.970001,102.949997,101.910004,102.500000,92.030792,4541600
2015-03-30,102.389999,104.099998,101.959999,103.830002,93.224930,3978600
2015-03-31,103.820000,104.300003,103.139999,103.209999,92.668274,3779400
2015-04-01,102.660004,102.730003,101.300003,102.260002,91.815292,4591200
2015-04-02,101.730003,103.269997,101.720001,102.709999,92.219337,3041400
2015-04-06,102.099998,103.949997,102.029999,103.430000,92.865791,3209900
2015-04-07,103.389999,104.449997,103.099998,103.129997,92.596428,2923100
2015-04-08,103.250000,103.879997,102.750000,102.930000,92.416855,3307100
2015-04-09,103.040001,103.290001,101.839996,102.370003,91.914063,5609500
2015-04-10,102.559998,102.800003,102.019997,102.540001,92.066689,3606400
2015-04-13,102.470001,103.160004,102.000000,102.139999,91.707550,6436900
2015-04-14,102.230003,102.760002,101.379997,102.110001,91.680603,4729400
2015-04-15,102.250000,102.510002,101.570000,101.730003,91.339439,4363500
2015-04-16,101.779999,101.919998,101.019997,101.169998,90.836632,4077700
2015-04-17,100.589996,100.720001,99.250000,100.389999,90.136292,6579200
2015-04-20,100.809998,101.459999,100.519997,101.279999,90.935387,4559100
2015-04-21,101.500000,101.919998,101.120003,101.410004,91.052109,5004400
2015-04-22,101.400002,101.669998,100.290001,101.230003,91.205276,5561800
2015-04-23,100.900002,101.230003,100.279999,100.879997,90.889923,4120600
2015-04-24,100.940002,101.849998,100.760002,101.580002,91.520630,5418800
2015-04-27,102.000000,102.529999,101.190002,101.220001,91.196281,5425500
2015-04-28,101.199997,102.110001,100.739998,101.970001,91.872009,4087700
2015-04-29,101.669998,101.949997,100.190002,100.669998,90.700737,6140400
2015-04-30,100.419998,101.050003,99.010002,99.290001,89.457397,7990100
2015-05-01,100.930000,101.180000,97.870003,100.459999,90.511520,6699100
2015-05-04,100.570000,101.320000,100.010002,100.160004,90.241241,3318800
2015-05-05,100.110001,100.269997,98.190002,98.739998,88.961868,4556500
2015-05-06,98.820000,99.150002,98.230003,98.870003,89.078979,3648400
2015-05-07,98.970001,99.540001,98.500000,99.360001,89.520462,3822900
2015-05-08,99.849998,101.099998,99.849998,100.660004,90.691719,4350700
2015-05-11,100.510002,101.309998,100.339996,100.489998,90.538551,3129000
2015-05-12,100.019997,100.760002,99.769997,100.239998,90.313316,4019500
2015-05-13,100.459999,100.739998,99.470001,99.809998,89.925903,3913200
2015-05-14,100.400002,102.000000,100.320000,101.959999,91.862976,4289400
2015-05-15,102.059998,102.139999,101.389999,102.070000,91.962090,3788700
2015-05-18,101.779999,102.809998,101.699997,102.440002,92.295425,2599700
2015-05-19,102.650002,102.879997,101.949997,102.320000,92.187340,2969500
2015-05-20,102.320000,102.320000,101.239998,101.269997,91.241325,3800400
2015-05-21,101.269997,104.930000,101.099998,103.690002,93.421669,7691600
2015-05-22,103.900002,104.419998,103.370003,103.949997,93.655922,3671400
2015-05-26,103.970001,104.320000,102.529999,102.849998,92.664848,3692500
2015-05-27,103.110001,103.860001,103.040001,103.480003,93.232460,3537700
2015-05-28,103.519997,103.720001,102.400002,103.190002,92.971184,2599900
2015-05-29,103.150002,103.209999,101.820000,102.379997,92.241386,4961500
2015-06-01,102.900002,103.059998,102.089996,102.510002,92.358513,3292000
2015-06-02,102.050003,102.250000,101.199997,101.830002,91.745865,3002400
2015-06-03,102.400002,102.599998,101.790001,101.910004,91.817932,2780300
2015-06-04,101.199997,101.959999,100.279999,100.870003,90.880943,3896100
2015-06-05,100.620003,100.760002,99.809998,99.949997,90.052025,3536400
2015-06-08,99.820000,99.989998,99.169998,99.410004,89.565514,3161400
2015-06-09,99.410004,100.449997,99.139999,99.980003,90.079063,3299700
2015-06-10,100.500000,102.379997,100.400002,102.129997,92.016144,3909200
2015-06-11,102.519997,103.370003,102.360001,102.629997,92.466629,3361300
2015-06-12,102.260002,102.820000,101.680000,102.220001,92.097260,2930900
2015-06-15,102.870003,103.349998,101.860001,102.580002,92.421608,5501500
2015-06-16,102.610001,103.279999,102.279999,103.169998,92.953163,4010100
2015-06-17,103.620003,104.160004,103.190002,103.820000,93.538788,3101900
2015-06-18,104.070000,106.000000,104.040001,105.059998,94.656013,4827100
2015-06-19,105.470001,106.080002,104.779999,105.470001,95.025391,5664400
2015-06-22,105.930000,106.500000,105.720001,106.139999,95.629051,3515700
2015-06-23,106.440002,106.680000,105.809998,106.470001,95.926361,3787300
2015-06-24,106.199997,106.879997,104.980003,105.330002,94.899261,4655100
2015-06-25,105.510002,106.110001,104.370003,105.010002,94.610947,5300400
2015-06-26,105.360001,105.879997,104.820000,105.839996,95.358742,15550100
2015-06-29,104.980003,105.820000,104.760002,104.809998,94.430756,4671900
2015-06-30,105.440002,105.699997,104.730003,104.879997,94.493820,4251300
2015-07-01,105.750000,105.879997,104.860001,105.709999,95.241623,3909500
2015-07-02,105.830002,106.220001,105.360001,105.550003,95.097450,2509700
2015-07-06,103.879997,105.769997,103.629997,104.809998,94.430756,4041100
2015-07-07,105.099998,106.430000,104.070000,106.379997,95.845284,4782300
2015-07-08,105.370003,105.930000,104.180000,104.190002,93.872147,4825900
2015-07-09,106.010002,106.389999,105.589996,105.699997,95.232597,5564500
2015-07-10,106.849998,107.750000,106.639999,107.440002,96.800323,4486600
2015-07-13,108.500000,109.160004,107.820000,109.160004,98.349991,3720100
2015-07-14,109.199997,109.959999,108.800003,109.820000,98.944611,3756800
2015-07-15,109.529999,110.260002,109.209999,109.900002,99.016701,4286800
2015-07-16,110.430000,110.699997,110.040001,110.540001,99.593323,2937300
2015-07-17,110.540001,110.540001,109.489998,110.139999,99.232933,3004400
2015-07-20,110.139999,111.150002,109.639999,110.980003,99.989746,2579300
2015-07-21,110.699997,110.940002,109.570000,110.059998,99.474556,2561400
2015-07-22,110.110001,111.070000,110.010002,110.980003,100.306084,3130300
2015-07-23,111.250000,111.639999,109.989998,110.190002,99.592072,2957600
2015-07-24,110.500000,111.269997,109.900002,110.489998,99.863220,3255600
2015-07-27,109.690002,110.040001,108.760002,109.769997,99.212448,3979300
2015-07-28,110.320000,111.910004,110.059998,111.639999,100.902611,4085500
2015-07-29,111.669998,113.650002,111.650002,113.449997,102.538513,4685500
2015-07-30,112.690002,113.150002,112.250000,112.940002,102.077576,3920700
2015-07-31,113.349998,113.500000,112.449997,112.470001,101.652786,4730100
2015-08-03,113.169998,113.580002,112.050003,112.820000,101.969109,4774600
2015-08-04,110.739998,111.300003,106.559998,109.959999,99.384178,9542400
2015-08-05,110.500000,111.559998,110.269997,111.199997,100.504921,4307500
2015-08-06,111.410004,111.750000,108.089996,108.120003,97.721153,6783300
2015-08-07,108.120003,108.279999,107.139999,107.739998,97.377693,4548000
2015-08-10,108.660004,109.349998,108.279999,108.620003,98.173065,3335700
2015-08-11,108.070000,109.180000,107.430000,108.080002,97.685005,2905300
2015-08-12,107.589996,108.500000,106.760002,108.320000,97.901901,3913800
2015-08-13,108.779999,108.870003,107.330002,107.669998,97.314430,3565200
2015-08-14,107.769997,108.110001,107.320000,107.669998,97.314430,2087000
2015-08-17,107.070000,108.820000,106.989998,108.739998,98.281532,3405500
2015-08-18,108.339996,108.849998,107.900002,108.459999,98.028473,3032900
2015-08-19,108.070000,108.250000,106.599998,106.760002,96.491959,4685800
2015-08-20,106.400002,107.550003,106.019997,106.019997,95.823128,4754800
2015-08-21,104.989998,105.230003,101.050003,102.209999,92.379562,8199200
2015-08-24,96.290001,104.209999,81.370003,100.209999,90.571930,13610400
2015-08-25,104.139999,104.410004,99.930000,100.000000,90.382133,8518200
2015-08-26,103.379997,103.540001,100.839996,102.870003,92.976089,8957800
2015-08-27,104.430000,105.540001,103.050003,105.199997,95.082001,6216200
2015-08-28,105.389999,105.470001,103.379997,104.180000,94.160103,5082700
2015-08-31,104.330002,104.349998,102.040001,102.400002,92.551308,5010200
2015-09-01,100.639999,101.389999,99.800003,100.269997,90.626152,6787400
2015-09-02,101.480003,102.059998,99.860001,101.110001,91.385368,5809500
2015-09-03,101.809998,102.830002,101.190002,101.589996,91.819191,3963300
2015-09-04,100.239998,100.860001,99.629997,100.120003,90.490593,4361500
2015-09-08,101.970001,102.190002,100.669998,102.139999,92.316307,4641800
2015-09-09,103.139999,103.589996,100.010002,100.230003,90.590012,3886700
2015-09-10,99.980003,101.699997,99.580002,100.800003,91.105186,4151000
2015-09-11,100.570000,101.540001,100.209999,101.519997,91.755928,3381000
2015-09-14,101.540001,101.690002,100.019997,100.160004,90.526741,3614100
2015-09-15,100.800003,102.089996,100.110001,101.599998,91.828239,3545900
2015-09-16,101.570000,101.989998,100.750000,101.540001,91.774002,3471600
2015-09-17,101.580002,102.629997,100.370003,101.339996,91.593231,4437500
2015-09-18,99.709999,100.919998,98.820000,99.029999,89.505417,8916800
2015-09-21,99.769997,101.089996,99.500000,100.910004,91.204597,3889100
2015-09-22,99.690002,100.250000,99.169998,100.029999,90.409233,3546700
2015-09-23,100.129997,100.879997,99.459999,100.629997,90.951523,4033600
2015-09-24,99.500000,100.489998,98.599998,99.169998,89.631943,4894800
2015-09-25,99.790001,99.860001,98.230003,98.610001,89.125824,4938400
2015-09-28,98.300003,98.449997,96.019997,96.349998,87.083183,5897000
2015-09-29,96.349998,97.320000,94.540001,95.120003,85.971489,6944200
2015-09-30,96.330002,96.889999,95.580002,96.480003,87.200684,5904400
2015-10-01,96.489998,97.099998,95.029999,96.910004,87.589325,6385200
2015-10-02,95.580002,99.000000,95.519997,98.959999,89.442162,5549000
2015-10-05,99.860001,102.250000,99.760002,101.970001,92.162666,6942400
2015-10-06,102.099998,102.150002,99.639999,99.820000,90.219444,4985500
2015-10-07,100.570000,101.370003,99.980003,101.010002,91.294991,4393200
2015-10-08,101.010002,102.500000,100.500000,102.169998,92.343430,5140000
2015-10-09,102.010002,102.519997,101.519997,102.000000,92.189766,4410300
2015-10-12,102.199997,103.519997,102.019997,103.070000,93.156860,3443300
2015-10-13,102.820000,103.779999,101.800003,102.050003,92.234962,4123700
2015-10-14,102.199997,102.720001,100.019997,100.449997,90.788841,4186000
2015-10-15,100.989998,102.489998,100.250000,102.410004,92.560356,3729400
2015-10-16,103.000000,103.820000,102.290001,103.379997,93.437050,3844200
2015-10-19,102.879997,103.589996,102.500000,103.510002,93.554543,3129900
2015-10-20,103.330002,104.400002,103.160004,103.599998,93.953575,4620200
2015-10-21,103.970001,104.570000,102.889999,103.290001,93.672440,3670900
2015-10-22,104.019997,104.519997,103.290001,104.290001,94.579330,6172200
2015-10-23,104.970001,104.970001,102.580002,103.949997,94.270981,5838800
2015-10-26,103.989998,104.339996,103.029999,103.470001,93.835678,4986400
2015-10-27,103.220001,106.000000,103.050003,105.290001,95.486198,6893700
2015-10-28,105.120003,105.489998,102.519997,103.809998,94.144012,6465800
2015-10-29,104.320000,104.739998,103.559998,103.800003,94.134926,6799100
2015-10-30,103.800003,103.800003,96.400002,98.779999,89.582375,23729900
